BoroCD *,CD_FULL_TITLE,Neighborhoods
401,Queens Community District 1,"Astoria, Astoria Heights, Queensbridge, Dutch Kills, Long Island City, Ravenswood, Rikers Island (BX), Steinway"
402,Queens Community District 2,"Blissville, Hunters Point, Long Island City, Sunnyside, Sunnyside Gardens, Woodside"
403,Queens Community District 3,"East Elmhurst, Jackson Heights, North Corona"
404,Queens Community District 4,"Corona, Corona Heights, Elmhurst, Lefrak City"
405,Queens Community District 5,"Glendale, Maspeth, Middle Village, Ridgewood"
406,Queens Community District 6,"Forest Hills, Forest Hills Gardens, Rego Park"
407,Queens Community District 7,"Auburndale, Bay Terrace, Beechhurst, Clearview, College Point, Downtown Flushing, East Flushing, Flushing, Malba, Murray Hill, Queensboro Hill, Waldheim, Whitestone"
408,Queens Community District 8,"Briarwood, Fresh Meadows, Hillcrest, Holliswood, Jamaica, Jamaica Estates, Jamaica Hills, Kew Gardens Hills, Pomonok, Utopia"
409,Queens Community District 9,"Kew Gardens, Ozone Park, Richmond Hill, Woodhaven"
410,Queens Community District 10,"Howard Beach, Lindenwood, Old Howard Beach, Ozone Park, South Ozone Park"
411,Queens Community District 11,"Auburndale, Bayside, Douglaston, Hollis Hills, Little Neck, Oakland Gardens"
412,Queens Community District 12,"Hollis, Jamaica, Jamaica Center, North Springfield Gardens, Rochdale, South Jamaica, St. Albans"
413,Queens Community District 13,"Bellaire, Bellerose, Brookville, Cambria Heights, Floral Park, Glen Oaks, Laurelton, New Hyde Park, Queens Village, Rosedale, Springfield Gardens"
414,Queens Community District 14,"Arverne, Bayswater, Belle Harbor, Breezy Point, Broad Channel, Edgemere, Far Rockaway, Hammels, Neponsit, Rockaway Park, The Rockaways, Roxbury, Seaside, Somerville"
501,Staten Island Community District 1,"Arlington, Castleton Corners, Clifton, Elm Park, Fox Hills, Graniteville, Grymes Hill, Howland Hook, Livingston, Mariner's Harbor, New Brighton, Old Place, Park Hill, Port Ivory, Port Richmond, Randall Manor, Rosebank, Shore Acres, Silver Lake, St. George, Stapleton, Sunnyside, Tompkinsville, Ward Hill, West Brighton, West New Brighton, Westerliegh, Willowbrook"
502,Staten Island Community District 2,"Arrochar, Bloomfield, Bulls Head, Chelsea, Concord, Dongan Hills, Egbertville, Emerson Hill, Grant City, Grasmere, Heartland Village, Lighthouse Hill, Manor Heights, Midland Beach, New Dorp, New Dorp Beach, New Springville, Old Town, South Beach, Todt Hill, Travis, Willowbrook"
503,Staten Island Community District 3,"Annadale, Arden Heights, Bay Terrace, Butler Manor, Charleston, Eltingville, Fresh Kills, Great Kills, Greenridge, Huguenot, Oakwood, Oakwood Beach, Oakwood Heights, Pleasant Plains, Prince's Bay, Richmond Town, Richmond Valley, Rossville, Sandy Ground, Tottenville, Woodrow"
